Sample	Unique Reads	Duplicate Reads
Host_DP05_rep3_clean_2	3466881.0	1378591.0
Host_DP12_rep1_clean_1	2956474.0	1822962.0
Host_DP12_rep1_clean_2	3327745.0	1451691.0
Host_DP12_rep2_clean_1	2475937.0	1240824.0
Host_DP12_rep2_clean_2	2806034.0	910727.0
Host_DP12_rep3_clean_1	2759292.0	1645150.0
Host_DP12_rep3_clean_2	3217175.0	1187267.0
Host_DP15_rep1_clean_1	2607079.0	1364872.0
Host_DP15_rep1_clean_2	2972635.0	999316.0
Host_DP15_rep2_clean_1	3237124.0	1967379.0
Host_DP15_rep2_clean_2	3769368.0	1435135.0
Host_DP15_rep3_clean_1	3150303.0	1921544.0
Host_DP15_rep3_clean_2	3686998.0	1384849.0
Host_Mix_rep1_clean_1	3652794.0	2385263.0
Host_Mix_rep1_clean_2	4228902.0	1809155.0
Host_Mix_rep2_clean_1	2915674.0	990711.0
Host_Mix_rep2_clean_2	3432294.0	474091.0
Host_Mix_rep3_clean_1	3169715.0	1834098.0
Host_Mix_rep3_clean_2	3704492.0	1299321.0
Phage_Bill_rep1_clean_1	884627.0	3030693.0
Phage_Bill_rep1_clean_2	1420280.0	2495040.0
Phage_Bill_rep2_clean_1	742047.0	2739380.0
Phage_Bill_rep2_clean_2	1364049.0	2117378.0
Phage_Bill_rep3_clean_1	765517.0	4262861.0
Phage_Bill_rep3_clean_2	1739318.0	3289060.0
Phage_Bob_rep1_clean_1	875176.0	3562572.0
Phage_Bob_rep1_clean_2	1447399.0	2990349.0
Phage_Bob_rep2_clean_1	963383.0	3917530.0
Phage_Bob_rep2_clean_2	1680187.0	3200726.0
Phage_Bob_rep3_clean_1	903576.0	3760063.0
Phage_Bob_rep3_clean_2	1637969.0	3025670.0
Phage_CCS4_rep1_clean_1	901804.0	3797915.0
Phage_CCS4_rep1_clean_2	1609026.0	3090693.0
Phage_CCS4_rep2_clean_1	820840.0	2629709.0
Phage_CCS4_rep2_clean_2	1257953.0	2192596.0
Phage_CCS4_rep3_clean_1	900408.0	3417059.0
Phage_CCS4_rep3_clean_2	1604096.0	2713371.0
Phage_Car_rep1_clean_1	1136192.0	3274524.0
Phage_Car_rep1_clean_2	1697999.0	2712717.0
Phage_Car_rep2_clean_1	1071524.0	2975625.0
Phage_Car_rep2_clean_2	1600630.0	2446519.0
Phage_Car_rep3_clean_1	1142090.0	3308142.0
Phage_Car_rep3_clean_2	1742886.0	2707346.0
Phage_Cousins_rep1_clean_1	1377880.0	3241405.0
Phage_Cousins_rep1_clean_2	1917472.0	2701813.0
Phage_Cousins_rep2_clean_1	935934.0	1398416.0
Phage_Cousins_rep2_clean_2	1046940.0	1287410.0
Phage_Cousins_rep3_clean_1	1240468.0	3001689.0
Phage_Cousins_rep3_clean_2	1842705.0	2399452.0
Phage_DP15_C1I_T20_clean_1	2285908.0	2161622.0
Phage_DP15_C1I_T20_clean_2	2433501.0	2014029.0
Phage_DP15_C1M_T20_clean_1	2517489.0	2198021.0
Phage_DP15_C1M_T20_clean_2	2759805.0	1955705.0
Phage_DP15_C2I_T20_clean_1	2983742.0	1752400.0
Phage_DP15_C2I_T20_clean_2	3514997.0	1221145.0
Phage_DP15_C2M_T20_clean_1	1936536.0	2558631.0
Phage_DP15_C2M_T20_clean_2	2318701.0	2176466.0
Phage_DP15_C3I_T20_clean_1	2058127.0	962232.0
Phage_DP15_C3I_T20_clean_2	2304268.0	716091.0
Phage_DP15_C3M_T20_clean_1	1813792.0	1843982.0
Phage_DP15_C3M_T20_clean_2	2189252.0	1468522.0
Phage_DP15_S1I_T20_clean_1	2634977.0	2661931.0
Phage_DP15_S1I_T20_clean_2	3005462.0	2291446.0
Phage_DP15_S1M_T20_clean_1	2028849.0	1503114.0
Phage_DP15_S1M_T20_clean_2	2398355.0	1133608.0
Phage_DP15_S2I_T20_clean_1	2717620.0	1789733.0
Phage_DP15_S2I_T20_clean_2	3122605.0	1384748.0
Phage_DP15_S2M_T20_clean_1	2193633.0	1828156.0
Phage_DP15_S2M_T20_clean_2	2417346.0	1604443.0
Phage_DP15_S3I_T20_clean_1	1803490.0	1641729.0
Phage_DP15_S3I_T20_clean_2	2013830.0	1431389.0
Phage_DP15_S3M_T20_clean_1	3297890.0	2391108.0
Phage_DP15_S3M_T20_clean_2	3769358.0	1919640.0
Phage_Sisters_rep1_clean_1	1603596.0	2871008.0
Phage_Sisters_rep1_clean_2	1977055.0	2497549.0
Phage_Sisters_rep2_clean_1	1461788.0	2600364.0
Phage_Sisters_rep2_clean_2	1825548.0	2236604.0
Phage_Sisters_rep3_clean_1	1463915.0	2912199.0
Phage_Sisters_rep3_clean_2	1943416.0	2432698.0
Phage_Ump_rep1_clean_1	351728.0	2601521.0
Phage_Ump_rep1_clean_2	825497.0	2127752.0
