Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
C2M_T03_2	73.27859898953119	37.0	151.0	27.27272727272727	2948968.0
C2M_T04_1	72.4534444519479	38.0	151.0	27.27272727272727	2359935.0
C2M_T04_2	72.1319910390958	37.0	151.0	27.27272727272727	2359935.0
C2M_T05_1	73.58647111017312	37.0	151.0	27.27272727272727	2887757.0
C2M_T05_2	72.23169919202307	37.0	151.0	27.27272727272727	2887757.0
C2M_T10_1	72.73790023381889	38.0	151.0	27.27272727272727	3041981.0
C2M_T10_2	71.55608738038637	37.0	151.0	27.27272727272727	3041981.0
C2M_T15_1	73.8513425018511	37.0	151.0	27.27272727272727	3709814.0
C2M_T15_2	71.32848803993791	37.0	151.0	27.27272727272727	3709814.0
C2M_T20_1	76.86573225697073	37.0	151.0	27.27272727272727	5657679.0
C2M_T20_2	74.11025308252246	37.0	151.0	27.27272727272727	5657679.0
C3I_T01_1	71.5327682163043	37.0	151.0	27.27272727272727	4301995.0
C3I_T01_2	70.10687509349678	37.0	151.0	27.27272727272727	4301995.0
C3I_T02_1	82.06513575709337	37.0	151.0	27.27272727272727	5536727.0
C3I_T02_2	79.28787481673467	36.0	151.0	27.27272727272727	5536727.0
C3I_T03_1	83.51485096677281	37.0	151.0	27.27272727272727	3845345.0
C3I_T03_2	80.36669924207995	37.0	151.0	27.27272727272727	3845345.0
C3I_T04_1	80.62249348201303	37.0	151.0	27.27272727272727	3974349.0
C3I_T04_2	79.29494538831145	37.0	151.0	27.27272727272727	3974349.0
C3I_T05_1	80.1334612289927	37.0	151.0	27.27272727272727	4058431.0
C3I_T05_2	77.25292484348816	37.0	151.0	27.27272727272727	4058431.0
C3I_T10_1	81.46279437458597	37.0	151.0	27.27272727272727	3510055.0
C3I_T10_2	80.24172446377857	37.0	151.0	27.27272727272727	3510055.0
C3I_T15_1	76.2639517559462	37.0	151.0	27.27272727272727	5206196.0
C3I_T15_2	73.88106348342203	37.0	151.0	27.27272727272727	5206196.0
C3I_T20_1	80.45381819881533	37.0	151.0	27.27272727272727	3691312.0
C3I_T20_2	78.7205785840166	37.0	151.0	27.27272727272727	3691312.0
C3M_T01_1	78.17535045557112	37.0	151.0	27.27272727272727	3913341.0
C3M_T01_2	78.03836648793418	37.0	151.0	27.27272727272727	3913341.0
C3M_T02_1	75.43617067883788	37.0	151.0	27.27272727272727	4671086.0
C3M_T02_2	71.63425964294439	37.0	151.0	27.27272727272727	4671086.0
C3M_T03_1	71.89029609184946	37.0	151.0	27.27272727272727	4672254.0
C3M_T03_2	67.20013892006303	37.0	151.0	27.27272727272727	4672254.0
C3M_T04_1	76.67518460266837	37.0	151.0	27.27272727272727	3914584.0
C3M_T04_2	74.64059223076988	37.0	151.0	27.27272727272727	3914584.0
C3M_T05_1	77.13753321836423	37.0	151.0	27.27272727272727	4237401.0
C3M_T05_2	74.00791712256446	37.0	151.0	27.27272727272727	4237401.0
C3M_T10_1	74.47326425722983	37.0	151.0	27.27272727272727	4171868.0
C3M_T10_2	71.82160583285125	37.0	151.0	27.27272727272727	4171868.0
C3M_T15_1	81.83471547679372	37.0	151.0	27.27272727272727	5154494.0
C3M_T15_2	77.64018818106919	36.0	151.0	27.27272727272727	5154494.0
C3M_T20_1	81.5283948265203	37.0	151.0	27.27272727272727	4259395.0
C3M_T20_2	78.09331965421617	37.0	151.0	27.27272727272727	4259395.0
Host_DP05_rep1_1	61.155750599707275	39.0	151.0	27.27272727272727	3931704.0
Host_DP05_rep1_2	58.0312209570156	38.0	151.0	27.27272727272727	3931704.0
Host_DP05_rep2_1	60.34493160673391	38.0	151.0	27.27272727272727	3784903.0
Host_DP05_rep2_2	56.97461791345344	38.0	151.0	27.27272727272727	3784903.0
Host_DP05_rep3_1	66.05625426174878	38.0	151.0	27.27272727272727	5283947.0
